,Marital.status,Application.mode,Application.order,Course,Daytime.evening.attendance,Previous.qualification,Nacionality,Mother.s.qualification,Father.s.qualification,Mother.s.occupation,Father.s.occupation,Displaced,Educational.special.needs,Debtor,Tuition.fees.up.to.date,Gender,Scholarship.holder,Age.at.enrollment,International,Curricular.units.1st.sem..credited.,Curricular.units.1st.sem..enrolled.,Curricular.units.1st.sem..evaluations.,Curricular.units.1st.sem..approved.,Curricular.units.1st.sem..grade.,Curricular.units.1st.sem..without.evaluations.,Curricular.units.2nd.sem..credited.,Curricular.units.2nd.sem..enrolled.,Curricular.units.2nd.sem..evaluations.,Curricular.units.2nd.sem..approved.,Curricular.units.2nd.sem..grade.,Curricular.units.2nd.sem..without.evaluations.,Unemployment.rate,Inflation.rate,GDP,Target,flag_out_Application.order,flag_out_Mother.s.occupation,flag_out_Father.s.occupation,flag_out_Age.at.enrollment,flag_out_Curricular.units.1st.sem..enrolled.,flag_out_Curricular.units.1st.sem..evaluations.,flag_out_Curricular.units.1st.sem..approved.,flag_out_Curricular.units.1st.sem..grade.,flag_out_Curricular.units.2nd.sem..enrolled.,flag_out_Curricular.units.2nd.sem..evaluations.,flag_out_Curricular.units.2nd.sem..approved.,flag_out_Curricular.units.2nd.sem..grade.
17,1,9,1,10,1,1,1,13,28,6,9,1,0,0,1,0,0,18,0,0,6,10,1,12.0,0,0,6,14,2,11.0,0,10.8,1.4,1.74,Enrolled,0,0,0,0,0,0,0,0,0,0,0,0
18,1,8,2,12,1,1,1,13,1,6,5,1,0,0,1,0,0,18,0,0,7,8,7,13.30625,0,0,8,8,8,14.545,0,15.5,2.8,-4.06,Graduate,0,0,0,0,0,0,0,0,0,0,0,0
19,1,1,1,8,1,1,1,3,14,4,6,1,0,0,1,0,0,20,0,0,5,8,4,12.5,1,0,5,8,4,12.25,2,10.8,1.4,1.74,Graduate,0,0,0,0,0,0,0,0,0,0,0,0
20,1,1,1,16,1,1,1,13,14,8,8,1,0,0,1,0,0,18,0,0,7,7,6,11.6666666666667,0,0,7,8,6,13.5,0,16.2,0.3,-0.92,Enrolled,0,0,0,0,0,0,0,0,0,0,0,0
21,1,1,3,2,1,1,1,1,1,10,9,0,0,0,1,0,1,21,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,11.1,0.6,2.02,Graduate,0,0,0,0,1,0,0,1,1,0,0,1
22,1,9,4,13,1,1,1,1,28,5,8,1,0,0,1,0,0,20,0,0,7,14,7,11.4375,0,0,8,9,8,11.425,0,12.7,3.7,-1.7,Enrolled,1,0,0,0,0,0,0,0,0,0,0,0
23,1,1,4,12,1,1,1,13,14,2,2,1,0,0,1,0,0,18,0,0,8,12,7,12.8571428571429,0,0,8,12,7,12.8571428571429,0,12.7,3.7,-1.7,Graduate,1,0,0,0,0,0,0,0,0,0,0,0
24,1,1,4,14,1,1,1,1,28,5,8,1,0,0,1,0,1,19,0,0,6,8,6,13.375,0,0,6,7,6,12.2857142857143,0,11.1,0.6,2.02,Graduate,1,0,0,0,0,0,0,0,0,0,0,0
25,1,1,1,12,1,1,1,13,14,4,8,0,0,0,1,0,0,19,0,0,7,8,6,13.2966666666667,0,0,8,9,7,14.1142857142857,0,11.1,0.6,2.02,Graduate,0,0,0,0,0,0,0,0,0,0,0,0
26,1,1,1,10,1,1,1,13,28,10,10,1,0,1,1,0,1,18,0,0,6,8,5,11.6,0,0,6,12,4,11.0,0,7.6,2.6,0.32,Enrolled,0,0,0,0,0,0,0,0,0,0,0,0
27,1,8,2,10,1,1,1,13,28,8,9,1,0,0,1,0,0,21,0,0,6,9,6,11.375,0,0,6,9,6,13.2857142857143,0,16.2,0.3,-0.92,Graduate,0,0,0,0,0,0,0,0,0,0,0,0
28,1,1,1,6,1,1,1,13,14,4,4,1,0,0,1,0,0,18,0,0,5,9,5,12.6666666666667,2,0,5,7,4,13.0,0,9.4,-0.8,-3.12,Enrolled,0,0,0,0,0,0,0,0,0,0,0,0
29,1,1,1,9,1,1,1,13,1,10,10,1,0,0,1,0,0,20,0,0,5,6,5,12.0,0,0,5,6,5,12.3333333333333,0,16.2,0.3,-0.92,Graduate,0,0,0,0,0,0,0,0,0,0,0,0
30,1,8,2,12,1,1,1,3,3,2,11,1,0,0,1,1,0,19,0,0,7,9,6,12.9333333333333,0,0,7,7,6,13.7166666666667,0,16.2,0.3,-0.92,Enrolled,0,0,0,0,0,0,0,0,0,0,0,0
31,1,15,1,4,1,14,1,4,5,5,3,0,0,0,1,1,0,21,0,0,6,15,5,11.8571428571429,0,0,6,17,5,10.5714285714286,0,16.2,0.3,-0.92,Enrolled,0,0,0,0,0,0,0,0,0,1,0,0
32,1,16,1,5,1,1,1,27,3,16,22,1,0,0,1,1,0,20,0,2,6,7,6,12.8333333333333,0,0,6,9,4,13.4,0,8.9,1.4,3.51,Graduate,0,0,1,0,0,0,0,0,0,0,0,0
33,1,1,1,9,1,1,1,1,1,5,7,0,0,0,0,1,0,18,0,0,5,9,3,11.3333333333333,0,0,5,8,2,13.5,0,8.9,1.4,3.51,Enrolled,0,0,0,0,0,0,0,0,0,0,0,0
34,1,9,1,3,0,1,1,13,1,10,6,1,0,0,1,0,0,19,0,0,6,6,6,12.6666666666667,0,0,6,8,6,14.375,0,12.4,0.5,1.79,Graduate,0,0,0,0,0,0,0,0,0,0,0,0
35,1,1,1,17,0,1,1,2,27,4,10,0,0,0,1,1,0,34,0,0,5,6,5,12.4,0,0,5,9,5,13.4285714285714,0,13.9,-0.3,0.79,Graduate,0,0,0,0,0,0,0,0,0,0,0,0
36,1,12,1,1,1,1,1,23,27,10,7,0,0,1,0,1,0,37,0,0,7,7,0,0.0,0,0,7,7,1,10.0,0,8.9,1.4,3.51,Dropout,0,0,0,1,0,0,0,1,0,0,0,0
37,1,12,1,7,1,8,1,19,27,1,1,1,0,0,1,1,0,43,0,0,5,0,0,0.0,0,0,5,0,0,0.0,0,7.6,2.6,0.32,Dropout,0,0,0,1,0,0,0,1,0,0,0,1
38,1,14,1,9,1,1,1,22,27,7,7,0,0,0,1,0,0,55,0,0,5,10,1,10.0,0,0,5,8,2,12.0,2,16.2,0.3,-0.92,Dropout,0,0,0,1,0,0,0,0,0,0,0,0
39,4,12,1,17,0,1,1,13,14,10,4,1,0,0,1,0,0,39,0,0,5,8,5,11.0,0,0,5,5,5,11.6,0,7.6,2.6,0.32,Graduate,0,0,0,1,0,0,0,0,0,0,0,0
40,1,15,1,8,1,14,3,4,4,4,7,0,0,1,0,0,0,20,1,2,6,13,3,11.6666666666667,0,1,6,11,3,12.0,0,12.4,0.5,1.79,Dropout,0,0,0,0,0,0,0,0,0,0,0,0
41,1,1,5,15,1,1,1,3,3,3,3,0,0,1,1,0,0,18,0,0,6,6,4,12.75,0,0,5,5,0,0.0,0,12.7,3.7,-1.7,Dropout,1,0,0,0,0,0,0,0,0,0,0,1
42,1,1,2,9,1,1,1,3,14,3,8,1,0,0,1,0,0,22,0,0,5,5,5,14.8,0,0,5,5,5,15.8,0,8.9,1.4,3.51,Graduate,0,0,0,0,0,0,0,0,0,0,0,0
43,1,1,6,12,1,1,1,1,3,3,3,1,1,0,1,0,0,22,0,0,7,9,5,13.928,0,0,8,9,7,14.3428571428571,0,11.1,0.6,2.02,Graduate,1,0,0,0,0,0,0,0,0,0,0,0
44,1,8,1,15,1,1,1,1,28,6,6,0,0,0,0,0,0,20,0,0,6,7,4,13.0,0,0,6,7,5,13.8,0,12.4,0.5,1.79,Dropout,0,0,0,0,0,0,0,0,0,0,0,0
45,1,12,1,17,0,1,1,22,27,10,10,0,0,0,1,0,0,29,0,0,5,0,0,0.0,0,0,5,0,0,0.0,0,16.2,0.3,-0.92,Dropout,0,0,0,0,0,0,0,1,0,0,0,1
46,1,8,1,17,0,1,1,23,28,5,6,0,0,0,1,0,0,24,0,0,5,9,2,11.5,0,0,5,11,3,14.3333333333333,1,7.6,2.6,0.32,Enrolled,0,0,0,0,0,0,0,0,0,0,0,0
47,1,8,2,10,1,1,1,13,14,10,10,1,0,0,1,0,0,18,0,0,6,6,6,11.6666666666667,0,0,6,8,5,13.2,0,11.1,0.6,2.02,Graduate,0,0,0,0,0,0,0,0,0,0,0,0
48,1,8,6,12,1,1,1,22,14,8,8,1,0,0,1,0,1,22,0,0,7,8,6,13.5166666666667,0,0,8,9,7,13.7714285714286,0,11.1,0.6,2.02,Graduate,1,0,0,0,0,0,0,0,0,0,0,0
49,1,15,1,3,0,14,1,1,14,10,10,0,0,0,1,0,1,21,0,3,6,6,6,11.5,0,2,6,7,6,13.2857142857143,0,12.4,0.5,1.79,Graduate,0,0,0,0,0,0,0,0,0,0,0,0
50,1,1,1,10,1,1,1,22,28,10,10,0,0,0,1,0,1,19,0,0,6,7,5,12.3333333333333,0,0,6,7,6,12.8333333333333,0,12.7,3.7,-1.7,Graduate,0,0,0,0,0,0,0,0,0,0,0,0
51,1,12,1,11,1,1,1,13,28,10,8,0,0,0,1,0,1,24,0,0,6,6,6,13.6666666666667,0,0,6,6,6,14.1666666666667,0,12.4,0.5,1.79,Graduate,0,0,0,0,0,0,0,0,0,0,0,0
52,1,1,1,12,1,1,1,22,28,7,7,1,0,0,1,0,1,19,0,0,8,10,6,11.8333333333333,0,0,8,10,6,11.8333333333333,0,9.4,-0.8,-3.12,Enrolled,0,0,0,0,0,0,0,0,0,0,0,0
53,1,1,1,15,1,1,1,1,14,8,8,1,0,0,1,0,1,20,0,0,6,11,4,14.0,0,0,6,12,3,11.0,0,9.4,-0.8,-3.12,Enrolled,0,0,0,0,0,0,0,0,0,0,0,0
54,1,1,3,8,1,1,1,22,27,12,12,0,0,0,1,0,0,19,0,0,5,7,5,14.7142857142857,0,0,5,5,5,15.8,0,7.6,2.6,0.32,Graduate,0,0,0,0,0,0,0,0,0,0,0,0
55,1,12,1,17,0,1,1,23,28,10,10,0,0,0,1,0,0,27,0,0,5,12,5,10.6,0,0,5,10,5,11.0,0,9.4,-0.8,-3.12,Dropout,0,0,0,0,0,0,0,0,0,0,0,0
56,1,1,1,12,1,1,1,1,14,6,6,1,0,0,1,0,0,18,0,0,7,9,7,13.0444444444444,0,0,8,10,8,13.595,0,15.5,2.8,-4.06,Graduate,0,0,0,0,0,0,0,0,0,0,0,0
57,2,4,1,11,1,3,1,1,3,5,4,0,0,0,1,0,0,39,0,0,6,10,0,0.0,0,0,6,6,0,0.0,0,12.4,0.5,1.79,Dropout,0,0,0,1,0,0,0,1,0,0,0,1
58,1,12,1,8,1,15,1,3,3,3,3,1,0,0,1,0,0,27,0,0,6,9,5,13.0,0,5,11,13,10,12.9,0,12.4,0.5,1.79,Dropout,0,0,0,0,0,0,0,0,1,0,0,0
59,1,8,1,12,1,1,1,23,28,8,11,1,0,0,1,0,0,18,0,0,8,8,8,14.935,0,0,8,8,8,14.935,0,9.4,-0.8,-3.12,Graduate,0,0,0,0,0,0,0,0,0,0,0,0
60,1,1,3,2,1,1,1,23,27,5,10,1,0,0,1,0,0,18,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,7.6,2.6,0.32,Enrolled,0,0,0,0,1,0,0,1,1,0,0,1
61,1,1,2,12,1,1,1,13,14,10,10,0,0,0,1,0,0,18,0,0,7,8,6,13.1333333333333,0,0,8,12,7,12.2214285714286,0,16.2,0.3,-0.92,Graduate,0,0,0,0,0,0,0,0,0,0,0,0
62,1,15,1,10,1,14,1,13,1,10,10,0,0,0,1,0,1,21,0,3,6,7,6,12.0,0,2,6,7,6,12.0,0,13.9,-0.3,0.79,Graduate,0,0,0,0,0,0,0,0,0,0,0,0
63,1,8,3,2,1,1,1,1,27,5,8,1,0,0,1,1,1,19,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,,0,0,0,0,1,0,0,1,1,0,0,1
64,1,8,1,5,1,1,1,1,1,4,5,1,0,0,1,1,0,19,0,0,6,6,5,11.4,0,0,6,8,1,10.0,0,10.8,1.4,1.74,,0,0,0,0,0,0,0,0,0,0,0,0
65,1,14,1,5,1,1,1,1,1,4,4,0,0,0,1,1,0,24,0,0,6,6,0,0.0,0,0,6,6,0,0.0,0,12.7,3.7,-1.7,Enrolled,0,0,0,0,0,0,0,1,0,0,0,1
66,4,13,1,12,1,12,1,1,1,6,6,1,0,0,1,1,0,29,0,2,7,10,5,11.9,0,1,8,10,5,11.0,0,13.9,-0.3,0.79,Dropout,0,0,0,0,0,0,0,0,0,0,0,0
67,1,1,3,2,1,1,1,13,14,6,4,1,0,0,1,1,1,19,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Graduate,0,0,0,0,1,0,0,1,1,0,0,1
68,1,15,1,4,1,14,1,13,27,10,10,1,0,0,1,1,0,23,0,0,6,8,6,12.5714285714286,0,0,6,7,6,12.4285714285714,0,8.9,1.4,3.51,Graduate,0,0,0,0,0,0,0,0,0,0,0,0
69,1,1,3,9,1,1,1,1,28,8,8,0,0,1,1,1,0,19,0,0,5,8,5,11.2,0,0,5,10,4,10.75,3,16.2,0.3,-0.92,Dropout,0,0,0,0,0,0,0,0,0,0,0,0
70,1,12,1,11,1,1,1,13,27,8,11,0,0,0,1,1,0,26,0,0,6,7,6,12.0,0,0,6,8,5,10.8,0,12.7,3.7,-1.7,Enrolled,0,0,0,0,0,0,0,0,0,0,0,0
71,1,8,1,9,1,1,1,23,27,6,6,0,0,0,1,1,0,18,0,0,5,9,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Enrolled,0,0,0,0,0,0,0,1,0,0,0,1
72,1,8,1,12,1,1,1,22,14,9,5,0,0,0,1,1,0,24,0,0,7,8,7,11.975,0,0,8,8,8,13.75,0,13.9,-0.3,0.79,Graduate,0,0,0,0,0,0,0,0,0,0,0,0
73,1,1,1,2,1,1,1,13,14,6,11,1,0,0,1,1,0,19,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,15.5,2.8,-4.06,Dropout,0,0,0,0,1,0,0,1,1,0,0,1
74,1,8,4,11,1,1,1,23,27,6,8,1,0,0,1,1,0,18,0,0,6,12,3,11.6666666666667,0,0,6,12,1,12.0,0,12.4,0.5,1.79,Dropout,1,0,0,0,0,0,0,0,0,0,0,0
75,1,1,2,15,1,1,1,23,28,10,10,1,0,0,1,1,0,18,0,0,6,8,6,12.3333333333333,0,0,6,11,3,12.3333333333333,0,10.8,1.4,1.74,Graduate,0,0,0,0,0,0,0,0,0,0,0,0
76,1,8,3,9,1,1,1,13,14,5,8,1,0,1,1,1,0,18,0,0,5,8,3,10.3333333333333,0,0,5,11,3,10.8571428571429,0,10.8,1.4,1.74,Dropout,0,0,0,0,0,0,0,0,0,0,0,0
77,1,9,4,11,1,1,1,13,27,8,8,1,0,0,1,1,1,21,0,0,6,8,4,10.5,0,0,6,11,1,11.0,0,9.4,-0.8,-3.12,Dropout,1,0,0,0,0,0,0,0,0,0,0,0
78,1,8,4,15,1,1,1,1,14,10,9,1,0,1,1,1,1,19,0,0,6,6,6,13.6666666666667,0,0,6,6,6,13.3333333333333,0,8.9,1.4,3.51,Graduate,1,0,0,0,0,0,0,0,0,0,0,0
79,1,8,4,12,1,1,1,23,27,10,10,0,0,0,1,1,1,22,0,0,7,7,7,14.8428571428571,0,0,8,9,8,15.0555555555556,0,16.2,0.3,-0.92,Graduate,1,0,0,0,0,0,0,0,0,0,0,0
80,2,12,1,3,0,1,1,22,27,10,7,0,0,0,1,1,0,33,0,0,6,8,6,12.0,0,0,6,6,6,11.6666666666667,0,10.8,1.4,1.74,Graduate,0,0,0,0,0,0,0,0,0,0,0,0
81,1,1,6,16,1,1,1,13,14,10,10,1,0,0,1,1,0,20,0,0,6,8,5,12.2,0,0,6,7,5,12.2,0,10.8,1.4,1.74,Dropout,1,0,0,0,0,0,0,0,0,0,0,0
82,1,12,1,17,0,2,1,3,3,3,3,1,0,0,1,1,0,35,0,0,1,1,0,0.0,1,0,5,0,0,0.0,0,10.8,1.4,1.74,Dropout,0,0,0,1,1,0,0,1,0,0,0,1
83,1,12,1,4,1,4,1,3,3,5,3,0,0,1,1,1,0,24,0,6,12,17,6,12.1666666666667,0,7,12,14,10,13.3,0,12.4,0.5,1.79,Dropout,0,0,0,0,1,1,0,0,1,0,0,0
84,1,8,1,11,1,1,1,13,14,5,5,0,0,0,1,1,0,18,0,0,5,6,5,12.0,0,0,5,8,3,11.3333333333333,0,12.7,3.7,-1.7,Enrolled,0,0,0,0,0,0,0,0,0,0,0,0
85,2,12,1,3,0,1,1,22,27,10,7,1,0,0,1,0,0,33,0,0,6,7,6,11.0,0,0,6,11,5,11.0,0,9.4,-0.8,-3.12,Graduate,0,0,0,0,0,0,0,0,0,0,0,0
86,1,13,1,12,1,1,1,22,28,10,8,1,0,0,1,0,1,22,0,0,8,8,7,13.08,0,0,8,8,7,13.08,0,10.8,1.4,1.74,Graduate,0,0,0,0,0,0,0,0,0,0,0,0
87,1,12,1,14,1,1,1,1,14,5,6,0,0,0,1,0,1,25,0,0,5,7,4,10.5,0,0,5,7,5,11.6,0,9.4,-0.8,-3.12,Graduate,0,0,0,0,0,0,0,0,0,0,0,0
88,1,8,1,5,1,1,1,13,28,5,1,1,0,0,1,1,0,20,0,0,6,9,6,10.6666666666667,1,0,6,6,5,11.2,0,7.6,2.6,0.32,Graduate,0,0,0,0,0,0,0,0,0,0,0,0
89,1,1,6,9,1,1,1,23,27,10,10,1,0,0,1,1,0,23,0,0,5,6,4,14.0,0,0,5,5,5,13.8,0,11.1,0.6,2.02,Enrolled,1,0,0,0,0,0,0,0,0,0,0,0
90,1,14,2,7,1,1,1,23,14,10,7,1,0,1,1,1,0,18,0,0,5,9,2,10.0,0,0,5,9,0,0.0,0,15.5,2.8,-4.06,Enrolled,0,0,0,0,0,0,0,0,0,0,0,1
91,1,12,1,12,1,1,1,1,1,5,11,0,0,0,1,1,0,24,0,0,7,18,0,0.0,0,0,7,7,0,0.0,0,13.9,-0.3,0.79,Dropout,0,0,0,0,0,1,0,1,0,0,0,1
92,1,8,2,15,1,1,14,13,1,10,10,1,0,0,0,0,0,21,1,0,6,6,6,14.0,0,0,6,6,6,13.5,0,8.9,1.4,3.51,Graduate,0,0,0,0,0,0,0,0,0,0,0,0
93,1,6,1,8,1,1,14,1,1,5,5,0,0,0,1,0,0,26,1,0,6,7,2,12.0,1,0,6,6,0,0.0,0,8.9,1.4,3.51,Dropout,0,0,0,0,0,0,0,0,0,0,0,1
94,2,12,1,16,1,8,1,22,24,1,1,0,0,0,1,0,0,39,0,0,6,12,3,12.6666666666667,0,0,6,14,0,0.0,1,7.6,2.6,0.32,Dropout,0,0,0,1,0,0,0,0,0,0,0,1
95,2,12,1,3,0,1,1,22,14,10,10,0,0,0,1,0,0,44,0,2,8,11,8,11.875,0,0,6,7,6,12.3333333333333,0,12.7,3.7,-1.7,Graduate,0,0,0,1,0,0,0,0,0,0,0,0
96,1,6,1,7,1,1,12,23,3,10,3,1,0,0,1,1,0,19,1,0,5,9,5,14.0,0,0,5,11,3,13.25,0,13.9,-0.3,0.79,Enrolled,0,0,0,0,0,0,0,0,0,0,0,0
97,1,1,5,15,1,1,1,22,1,6,6,1,0,0,1,0,0,18,0,0,6,6,6,13.6666666666667,0,0,6,6,6,13.3333333333333,0,8.9,1.4,3.51,Graduate,1,0,0,0,0,0,0,0,0,0,0,0
98,1,1,5,12,1,1,1,22,27,8,8,1,0,0,1,0,1,18,0,0,7,7,7,13.75,0,0,8,9,8,14.4777777777778,0,12.4,0.5,1.79,Graduate,1,0,0,0,0,0,0,0,0,0,0,0
99,1,1,1,6,1,1,1,1,2,10,2,1,0,0,1,0,0,19,0,0,5,7,5,14.2,2,0,5,7,5,13.8,0,12.7,3.7,-1.7,Enrolled,0,0,0,0,0,0,0,0,0,0,0,0
100,1,1,4,12,1,1,1,3,3,3,3,1,0,1,0,0,0,19,0,0,7,10,4,11.96,0,0,7,7,0,0.0,0,13.9,-0.3,0.79,Dropout,1,0,0,0,0,0,0,0,0,0,0,1
101,1,17,1,6,1,16,1,23,28,10,10,0,0,0,1,0,0,21,0,7,10,12,8,12.875,0,4,9,14,5,13.4,0,8.9,1.4,3.51,Dropout,0,0,0,0,0,0,0,0,0,0,0,0
102,1,1,4,2,1,1,1,1,1,10,11,1,0,0,1,0,0,20,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,16.2,0.3,-0.92,Graduate,1,0,0,0,1,0,0,1,1,0,0,1
103,2,12,1,3,0,1,1,22,27,7,6,1,0,0,1,0,0,36,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,9.4,-0.8,-3.12,Dropout,0,0,0,1,0,0,0,1,0,0,0,1
104,4,12,1,4,1,9,1,22,27,10,7,0,0,0,1,0,0,43,0,13,18,19,18,14.6315789473684,0,10,13,14,13,14.2307692307692,1,15.5,2.8,-4.06,Graduate,0,0,0,1,1,1,1,0,1,0,1,0
105,1,9,1,16,1,1,1,13,14,10,8,1,0,0,1,0,0,19,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,11.1,0.6,2.02,Dropout,0,0,0,0,0,0,0,1,0,0,0,1
106,1,16,1,5,1,1,1,3,1,3,9,0,0,1,1,0,0,20,0,4,10,12,10,13.0,0,5,11,11,11,12.2727272727273,0,11.1,0.6,2.02,Graduate,0,0,0,0,0,0,0,0,1,0,0,0
107,1,1,2,10,1,1,1,22,28,5,8,1,0,0,1,0,0,19,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,16.2,0.3,-0.92,Dropout,0,0,0,0,0,0,0,1,0,0,0,1
108,1,1,1,6,1,1,1,1,1,5,5,1,0,0,1,0,0,20,0,0,6,15,4,14.2,0,0,6,17,4,13.25,0,15.5,2.8,-4.06,Dropout,0,0,0,0,0,0,0,0,0,1,0,0
109,1,1,5,12,1,1,1,3,4,5,4,1,0,0,1,0,0,20,0,2,7,9,6,13.2666666666667,0,0,7,10,5,12.3,0,12.4,0.5,1.79,Dropout,1,0,0,0,0,0,0,0,0,0,0,0
110,1,8,2,16,1,1,1,13,1,10,4,1,0,0,1,0,0,20,0,0,7,12,6,11.6666666666667,0,0,7,10,3,13.0,0,16.2,0.3,-0.92,,0,0,0,0,0,0,0,0,0,0,0,0
111,1,1,1,10,1,1,1,22,27,7,8,1,0,0,1,0,0,18,0,0,6,8,6,13.8571428571429,0,0,6,6,6,15.0,0,13.9,-0.3,0.79,Graduate,0,0,0,0,0,0,0,0,0,0,0,0
112,1,8,2,9,1,1,1,1,28,5,8,1,0,0,1,0,1,18,0,0,5,9,3,13.0,0,0,5,11,3,11.0,0,8.9,1.4,3.51,Enrolled,0,0,0,0,0,0,0,0,0,0,0,0
113,1,1,1,6,1,1,1,13,14,10,10,1,0,0,1,0,0,19,0,0,5,6,5,13.4,0,0,5,5,5,12.8,0,10.8,1.4,1.74,Graduate,0,0,0,0,0,0,0,0,0,0,0,0
